date,pjm_pv_jeremy_scaled_3_28
39088.29,0
39088.33,0.065606735
39088.37,0.129798505
39088.42,0.238814934
39088.46,0.23187276
39088.5,0.266563036
39088.54,0.287863902
39088.58,0.223975044
39088.62,0.17557594
39088.67,0.098924696
39088.71,0
39088.75,0
39088.79,0
39088.83,0
39088.87,0
39088.92,0
39088.96,0
39089,0
39089.04,0
39089.08,0
39089.12,0
39089.17,0
39089.21,0
39089.25,0
39089.29,0
39089.33,0.066506867
39089.37,0.168406907
39089.42,0.208735932
39089.46,0.241409712
39089.5,0.242810665
39089.54,0.196172152
39089.58,0.161246219
39089.62,0.087502644
39089.67,0.009575364
39089.71,0
39089.75,0
39089.79,0
39089.83,0
39089.87,0
39089.92,0
39089.96,0
39090,0
39090.04,0
39090.08,0
39090.12,0
39090.17,0
39090.21,0
39090.25,0
39090.29,0
39090.33,0.001430804
39090.37,0.020568182
39090.42,0.033193557
39090.46,0.060066162
39090.5,0.162632514
39090.54,0.195825362
39090.58,0.277119619
39090.62,0.202505113
39090.67,0.156239493
39090.71,0.004582048
39090.75,0
39090.79,0
39090.83,0
39090.87,0
39090.92,0
39090.96,0
39091,0
39091.04,0
39091.08,0
39091.12,0
39091.17,0
39091.21,0
39091.25,0
39091.29,0
39091.33,0.040378473
39091.37,0.132630639
39091.42,0.172295034
39091.46,0.214513062
39091.5,0.243770901
39091.54,0.268402325
39091.58,0.21696936
39091.62,0.09439734
39091.67,0.05012008
39091.71,0.000473733
39091.75,0
39091.79,0
39091.83,0
39091.87,0
39091.92,0
39091.96,0
39092,0
39092.04,0
39092.08,0
39092.12,0
39092.17,0
39092.21,0
39092.25,0
39092.29,0
39092.33,0.088757967
39092.37,0.190986056
39092.42,0.265748529
39092.46,0.289967368
39092.5,0.300596351
39092.54,0.24959655
39092.58,0.223983087
39092.62,0.220350559
39092.67,0.142467413
39092.71,0.004827551
39092.75,0
39092.79,0
39092.83,0
39092.87,0
39092.92,0
39092.96,0
39093,0
39093.04,0
39093.08,0
39093.12,0
39093.17,0
39093.21,0
39093.25,0
39093.29,0
39093.33,0.091211514
39093.37,0.225349391
39093.42,0.312521869
39093.46,0.35390482
39093.5,0.370121796
39093.54,0.347723326
39093.58,0.325858666
39093.62,0.229276516
39093.67,0.100163344
39093.71,0.0012776
39093.75,0
39093.79,0
39093.83,0
39093.87,0
39093.92,0
39093.96,0
39094,0
39094.04,0
39094.08,0
39094.12,0
39094.17,0
39094.21,0
39094.25,0
39094.29,0
39094.33,0.007940284
39094.37,0.026664033
39094.42,0.060961014
39094.46,0.062293018
39094.5,0.129946417
39094.54,0.115992144
39094.58,0.100940617
39094.62,0.071120837
39094.67,0.023327502
39094.71,0.000461931
39094.75,0
39094.79,0
39094.83,0
39094.87,0
39094.92,0
39094.96,0
39095,0
39095.04,0
39095.08,0
39095.12,0
39095.17,0
39095.21,0
39095.25,0
39095.29,0
39095.33,0.012808876
39095.37,0.045174612
39095.42,0.089343148
39095.46,0.096308485
39095.5,0.119972776
39095.54,0.11832217
39095.58,0.069250098
39095.62,0.039693521
39095.67,0.025694069
39095.71,0.000462918
39095.75,0
39095.79,0
39095.83,0
39095.87,0
39095.92,0
39095.96,0
39096,0
39096.04,0
39096.08,0
39096.12,0
39096.17,0
39096.21,0
39096.25,0
39096.29,0
39096.33,0.007161214
39096.37,0.022171716
39096.42,0.064398124
39096.46,0.079416301
39096.5,0.061297462
39096.54,0.106701161
39096.58,0.085075958
39096.62,0.066809555
39096.67,0.029115774
39096.71,0.000461808
39096.75,0
39096.79,0
39096.83,0
39096.87,0
39096.92,0
39096.96,0
39097,0
39097.04,0
39097.08,0
39097.12,0
39097.17,0
39097.21,0
39097.25,0
39097.29,0
39097.33,0.011672568
39097.37,0.021362109
39097.42,0.052755211
39097.46,0.088789602
39097.5,0.138840947
39097.54,0.082690892
39097.58,0.086316041
39097.62,0.086849998
39097.67,0.043812723
39097.71,0.001035027
39097.75,0
39097.79,0
39097.83,0
39097.87,0
39097.92,0
39097.96,0
39098,0
39098.04,0
39098.08,0
39098.12,0
39098.17,0
39098.21,0
39098.25,0
39098.29,0
39098.33,0.007677324
39098.37,0.015727482
39098.42,0.04821147
39098.46,0.085441522
39098.5,0.119656938
39098.54,0.143913109
39098.58,0.142756977
39098.62,0.067610491
39098.67,0.037878596
39098.71,0.000441601
39098.75,0
39098.79,0
39098.83,0
39098.87,0
39098.92,0
39098.96,0
39099,0
39099.04,0
39099.08,0
39099.12,0
39099.17,0
39099.21,0
39099.25,0
39099.29,0
39099.33,0.103205912
39099.37,0.248784172
39099.42,0.337885866
39099.46,0.371041611
39099.5,0.393470216
39099.54,0.395618879
39099.58,0.361425731
39099.62,0.296812376
39099.67,0.190408864
39099.71,0.017016866
39099.75,0
39099.79,0
39099.83,0
39099.87,0
39099.92,0
39099.96,0
39100,0
39100.04,0
39100.08,0
39100.12,0
39100.17,0
39100.21,0
39100.25,0
39100.29,0
39100.33,0.02208532
39100.37,0.119439841
39100.42,0.151710232
39100.46,0.158746403
39100.5,0.137426736
39100.54,0.126380391
39100.58,0.096006401
39100.62,0.058195064
39100.67,0.038524069
39100.71,0.002126979
39100.75,0
39100.79,0
39100.83,0
39100.87,0
39100.92,0
39100.96,0
39101,0
39101.04,0
39101.08,0
39101.12,0
39101.17,0
39101.21,0
39101.25,0
39101.29,0
39101.33,0.056817742
39101.37,0.152830216
39101.42,0.243592463
39101.46,0.255292974
39101.5,0.215464561
39101.54,0.228366183
39101.58,0.185058427
39101.62,0.13127992
39101.67,0.103008872
39101.71,0.013241019
39101.75,0
39101.79,0
39101.83,0
39101.87,0
39101.92,0
39101.96,0
39102,0
39102.04,0
39102.08,0
39102.12,0
39102.17,0
39102.21,0
39102.25,0
39102.29,0
39102.33,0.064027174
39102.37,0.176439097
39102.42,0.252913838
39102.46,0.282172064
39102.5,0.313693753
39102.54,0.320872486
39102.58,0.309110528
39102.62,0.258488261
39102.67,0.173943683
39102.71,0.026572325
39102.75,0
39102.79,0
39102.83,0
39102.87,0
39102.92,0
39102.96,0
39103,0
39103.04,0
39103.08,0
39103.12,0
39103.17,0
39103.21,0
39103.25,0
39103.29,0
39103.33,0.017478623
39103.37,0.079168981
39103.42,0.148361033
39103.46,0.131297188
39103.5,0.139217667
39103.54,0.127685772
39103.58,0.097174571
39103.62,0.063254412
39103.67,0.042701651
39103.71,0.008456087
39103.75,0
39103.79,0
39103.83,0
39103.87,0
39103.92,0
39103.96,0
39104,0
39104.04,0
39104.08,0
39104.12,0
39104.17,0
39104.21,0
39104.25,0
39104.29,0
39104.33,0.056982896
39104.37,0.103224377
39104.42,0.088872814
39104.46,0.078819551
39104.5,0.065990726
39104.54,0.093131706
39104.58,0.073809775
39104.62,0.033768328
39104.67,0.023568707
39104.71,0.004392951
39104.75,0
39104.79,0
39104.83,0
39104.87,0
39104.92,0
39104.96,0
39105,0
39105.04,0
39105.08,0
39105.12,0
39105.17,0
39105.21,0
39105.25,0
39105.29,0
39105.33,0.01876971
39105.37,0.103331967
39105.42,0.21964902
39105.46,0.274684933
39105.5,0.202384753
39105.54,0.231859437
39105.58,0.23152045
39105.62,0.226871474
39105.67,0.133240914
39105.71,0.016646817
39105.75,0
39105.79,0
39105.83,0
39105.87,0
39105.92,0
39105.96,0
39106,0
39106.04,0
39106.08,0
39106.12,0
39106.17,0
39106.21,0
39106.25,0
39106.29,0
39106.33,0.018485036
39106.37,0.101442216
39106.42,0.167094177
39106.46,0.189011838
39106.5,0.175321704
39106.54,0.163135458
39106.58,0.087851769
39106.62,0.095292951
39106.67,0.079816149
39106.71,0.007415383
39106.75,0
39106.79,0
39106.83,0
39106.87,0
39106.92,0
39106.96,0
39107,0
39107.04,0
39107.08,0
39107.12,0
39107.17,0
39107.21,0
39107.25,0
39107.29,0
39107.33,0.031452923
39107.37,0.133258979
39107.42,0.204187426
39107.46,0.216028031
39107.5,0.220017516
39107.54,0.19183865
39107.58,0.168213204
39107.62,0.237842287
39107.67,0.074573562
39107.71,0.007761306
39107.75,0
39107.79,0
39107.83,0
39107.87,0
39107.92,0
39107.96,0
39108,0
39108.04,0
39108.08,0
39108.12,0
39108.17,0
39108.21,0
39108.25,0
39108.29,0
39108.33,0.114198934
39108.37,0.230383684
39108.42,0.307120894
39108.46,0.387356364
39108.5,0.385223363
39108.54,0.290089937
39108.58,0.292122236
39108.62,0.232502479
39108.67,0.161873759
39108.71,0.030408821
39108.75,0
39108.79,0
39108.83,0
39108.87,0
39108.92,0
39108.96,0
39109,0
39109.04,0
39109.08,0
39109.12,0
39109.17,0
39109.21,0
39109.25,0
39109.29,0
39109.33,0.071821701
39109.37,0.157643582
39109.42,0.223057578
39109.46,0.246453268
39109.5,0.257878132
39109.54,0.21230249
39109.58,0.209699465
39109.62,0.128171222
39109.67,0.100999372
39109.71,0.019052859
39109.75,0
39109.79,0
39109.83,0
39109.87,0
39109.92,0
39109.96,0
39110,0
39110.04,0
39110.08,0
39110.12,0
39110.17,0
39110.21,0
39110.25,0
39110.29,0
39110.33,0.006262986
39110.37,0.076102452
39110.42,0.075692604
39110.46,0.08534899
39110.5,0.097225268
39110.54,0.112203259
39110.58,0.075464869
39110.62,0.058366983
39110.67,0.032785372
39110.71,0.004779719
39110.75,0
39110.79,0
39110.83,0
39110.87,0
39110.92,0
39110.96,0
39111,0
39111.04,0
39111.08,0
39111.12,0
39111.17,0
39111.21,0
39111.25,0
39111.29,0
39111.33,0.1138535
39111.37,0.251553648
39111.42,0.331361222
39111.46,0.355808814
39111.5,0.362018361
39111.54,0.346750824
39111.58,0.313995628
39111.62,0.273097271
39111.67,0.183542934
39111.71,0.048539289
39111.75,0
39111.79,0
39111.83,0
39111.87,0
39111.92,0
39111.96,0
39112,0
39112.04,0
39112.08,0
39112.12,0
39112.17,0
39112.21,0
39112.25,0
39112.29,0
39112.33,0.077262207
39112.37,0.187546641
39112.42,0.265485772
39112.46,0.284043737
39112.5,0.339648742
39112.54,0.325054815
39112.58,0.216445899
39112.62,0.163270405
39112.67,0.086818564
39112.71,0.025391898
39112.75,0
39112.79,0
39112.83,0
39112.87,0
39112.92,0
39112.96,0
39113,0
39113.04,0
39113.08,0
39113.12,0
39113.17,0
39113.21,0
39113.25,0
39113.29,0
39113.33,0.112314383
39113.37,0.249504314
39113.42,0.326936844
39113.46,0.373571139
39113.5,0.414236931
39113.54,0.398051573
39113.58,0.363700011
39113.62,0.293561732
39113.67,0.208562243
39113.71,0.063552745
39113.75,0
39113.79,0
39113.83,0
39113.87,0
39113.92,0
39113.96,0
39114,0
39114.04,0
39114.08,0
39114.12,0
39114.17,0
39114.21,0
39114.25,0
39114.29,0
39114.33,0.054149296
39114.37,0.147452553
39114.42,0.283691487
39114.46,0.28807613
39114.5,0.309601389
39114.54,0.274330524
39114.58,0.179239644
39114.62,0.200467933
39114.67,0.136200077
39114.71,0.037669309
39114.75,0
39114.79,0
39114.83,0
39114.87,0
39114.92,0
39114.96,0
39115,0
39115.04,0
39115.08,0
39115.12,0
39115.17,0
39115.21,0
39115.25,0
39115.29,0
39115.33,0.1152155
39115.37,0.206772585
39115.42,0.292871614
39115.46,0.250587122
39115.5,0.202043355
39115.54,0.148565041
39115.58,0.078977006
39115.62,0.066062785
39115.67,0.044333175
39115.71,0.009185218
39115.75,0
39115.79,0
39115.83,0
39115.87,0
39115.92,0
39115.96,0
39116,0
39116.04,0
39116.08,0
39116.12,0
39116.17,0
39116.21,0
39116.25,0
39116.29,0
39116.33,0.234847226
39116.37,0.463906243
39116.42,0.610434431
39116.46,0.692991295
39116.5,0.725432113
39116.54,0.713896002
39116.58,0.631397582
39116.62,0.496190104
39116.67,0.314381757
39116.71,0.101035847
39116.75,0
39116.79,0
39116.83,0
39116.87,0
39116.92,0
39116.96,0
39117,0
39117.04,0
39117.08,0
39117.12,0
39117.17,0
39117.21,0
39117.25,0
39117.29,0
39117.33,0.226346717
39117.37,0.450277764
39117.42,0.55190529
39117.46,0.644861095
39117.5,0.690040436
39117.54,0.65019186
39117.58,0.501701301
39117.62,0.413918345
39117.67,0.294043492
39117.71,0.12916047
39117.75,0
39117.79,0
39117.83,0
39117.87,0
39117.92,0
39117.96,0
39118,0
39118.04,0
39118.08,0
39118.12,0
39118.17,0
39118.21,0
39118.25,0
39118.29,0
39118.33,0.249466917
39118.37,0.48364735
39118.42,0.639436119
39118.46,0.728941827
39118.5,0.76481953
39118.54,0.734308879
39118.58,0.698508566
39118.62,0.589217145
39118.67,0.406689626
39118.71,0.151048657
39118.75,0
39118.79,0
39118.83,0
39118.87,0
39118.92,0
39118.96,0
39119,0
39119.04,0
39119.08,0
39119.12,0
39119.17,0
39119.21,0
39119.25,0
39119.29,0
39119.33,0.247690687
39119.37,0.481170934
39119.42,0.605380686
39119.46,0.70395434
39119.5,0.728257658
39119.54,0.682944264
39119.58,0.596723781
39119.62,0.475494062
39119.67,0.242465578
39119.71,0.079187699
39119.75,0
39119.79,0
39119.83,0
39119.87,0
39119.92,0
39119.96,0
39120,0
39120.04,0
39120.08,0
39120.12,0
39120.17,0
39120.21,0
39120.25,0
39120.29,0
39120.33,0.225781678
39120.37,0.470906939
39120.42,0.591321399
39120.46,0.677674087
39120.5,0.752766879
39120.54,0.744923747
39120.58,0.690816767
39120.62,0.584366479
39120.67,0.411761034
39120.71,0.164772444
39120.75,0
39120.79,0
39120.83,0
39120.87,0
39120.92,0
39120.96,0
39121,0
39121.04,0
39121.08,0
39121.12,0
39121.17,0
39121.21,0
39121.25,0
39121.29,0
39121.33,0.254397834
39121.37,0.451226065
39121.42,0.63087989
39121.46,0.663321845
39121.5,0.737915545
39121.54,0.742570336
39121.58,0.688274058
39121.62,0.581695371
39121.67,0.410180615
39121.71,0.168007176
39121.75,0
39121.79,0
39121.83,0
39121.87,0
39121.92,0
39121.96,0
39122,0
39122.04,0
39122.08,0
39122.12,0
39122.17,0
39122.21,0
39122.25,0
39122.29,0
39122.33,0.231041161
39122.37,0.467540705
39122.42,0.614263113
39122.46,0.697818878
39122.5,0.729359062
39122.54,0.714923737
39122.58,0.661910125
39122.62,0.555865513
39122.67,0.368703943
39122.71,0.14702576
39122.75,0
39122.79,0
39122.83,0
39122.87,0
39122.92,0
39122.96,0
39123,0
39123.04,0
39123.08,0
39123.12,0
39123.17,0
39123.21,0
39123.25,0
39123.29,0
39123.33,0.196367899
39123.37,0.43426969
39123.42,0.575737594
39123.46,0.663938331
39123.5,0.645085582
39123.54,0.674201269
39123.58,0.640552475
39123.62,0.537854329
39123.67,0.39571473
39123.71,0.163449579
39123.75,0
39123.79,0
39123.83,0
39123.87,0
39123.92,0
39123.96,0
39124,0
39124.04,0
39124.08,0
39124.12,0
39124.17,0
39124.21,0
39124.25,0
39124.29,0
39124.33,0.169434795
39124.37,0.34631468
39124.42,0.540780577
39124.46,0.570660014
39124.5,0.617189139
39124.54,0.667290565
39124.58,0.562217641
39124.62,0.442956161
39124.67,0.259617085
39124.71,0.148406277
39124.75,0
39124.79,0
39124.83,0
39124.87,0
39124.92,0
39124.96,0
39125,0
39125.04,0
39125.08,0
39125.12,0
39125.17,0
39125.21,0
39125.25,0
39125.29,0
39125.33,0.058190215
39125.37,0.276540422
39125.42,0.34953441
39125.46,0.567151816
39125.5,0.451734302
39125.54,0.482000991
39125.58,0.415047604
39125.62,0.314837501
39125.67,0.188873479
39125.71,0.061099502
39125.75,0
39125.79,0
39125.83,0
39125.87,0
39125.92,0
39125.96,0
39126,0
39126.04,0
39126.08,0
39126.12,0
39126.17,0
39126.21,0
39126.25,0
39126.29,0
39126.33,0.016201713
39126.37,0.040288275
39126.42,0.251217107
39126.46,0.239898971
39126.5,0.203996652
39126.54,0.158438004
39126.58,0.116878412
39126.62,0.091505629
39126.67,0.072732949
39126.71,0.025946287
39126.75,0
39126.79,0
39126.83,0
39126.87,0
39126.92,0
39126.96,0
39127,0
39127.04,0
39127.08,0
39127.12,0
39127.17,0
39127.21,0
39127.25,0
39127.29,0
39127.33,0.021438895
39127.37,0.155464223
39127.42,0.163804276
39127.46,0.158181176
39127.5,0.174871893
39127.54,0.333619483
39127.58,0.373629017
39127.62,0.304545956
39127.67,0.165658463
39127.71,0.056883631
39127.75,0
39127.79,0
39127.83,0
39127.87,0
39127.92,0
39127.96,0
39128,0
39128.04,0
39128.08,0
39128.12,0
39128.17,0
39128.21,0
39128.25,0
39128.29,0
39128.33,0.170263206
39128.37,0.353880617
39128.42,0.607359568
39128.46,0.682577068
39128.5,0.719250252
39128.54,0.605780001
39128.58,0.652367871
39128.62,0.5555951
39128.67,0.365793878
39128.71,0.186926239
39128.75,0
39128.79,0
39128.83,0
39128.87,0
39128.92,0
39128.96,0
39129,0
39129.04,0
39129.08,0
39129.12,0
39129.17,0
39129.21,0
39129.25,0
39129.29,0
39129.33,0.258957733
39129.37,0.446583285
39129.42,0.591173087
39129.46,0.71002328
39129.5,0.713012241
39129.54,0.720543726
39129.58,0.677990917
39129.62,0.597035392
39129.67,0.425784699
39129.71,0.189414025
39129.75,0
39129.79,0
39129.83,0
39129.87,0
39129.92,0
39129.96,0
39130,0
39130.04,0
39130.08,0
39130.12,0
39130.17,0
39130.21,0
39130.25,0
39130.29,0
39130.33,0.181319272
39130.37,0.418420356
39130.42,0.507897003
39130.46,0.552492076
39130.5,0.485549814
39130.54,0.594360679
39130.58,0.51381033
39130.62,0.326598285
39130.67,0.195249585
39130.71,0.047625979
39130.75,0
39130.79,0
39130.83,0
39130.87,0
39130.92,0
39130.96,0
39131,0
39131.04,0
39131.08,0
39131.12,0
39131.17,0
39131.21,0
39131.25,0
39131.29,0.003048781
39131.33,0.167312758
39131.37,0.345355142
39131.42,0.511496472
39131.46,0.345747327
39131.5,0.359805544
39131.54,0.468195168
39131.58,0.484634513
39131.62,0.293461538
39131.67,0.22882128
39131.71,0.084847773
39131.75,0
39131.79,0
39131.83,0
39131.87,0
39131.92,0
39131.96,0
39132,0
39132.04,0
39132.08,0
39132.12,0
39132.17,0
39132.21,0
39132.25,0
39132.29,0.018701068
39132.33,0.283656361
39132.37,0.440380969
39132.42,0.566789247
39132.46,0.693240598
39132.5,0.748058545
39132.54,0.684539124
39132.58,0.634833122
39132.62,0.466502134
39132.67,0.352991105
39132.71,0.13710612
39132.75,0
39132.79,0
39132.83,0
39132.87,0
39132.92,0
39132.96,0
39133,0
39133.04,0
39133.08,0
39133.12,0
39133.17,0
39133.21,0
39133.25,0
39133.29,0.001615716
39133.33,0.119772202
39133.37,0.144220662
39133.42,0.212658648
39133.46,0.260795804
39133.5,0.298368066
39133.54,0.281667462
39133.58,0.26957204
39133.62,0.295033887
39133.67,0.135336293
39133.71,0.085767255
39133.75,0
39133.79,0
39133.83,0
39133.87,0
39133.92,0
39133.96,0
39134,0
39134.04,0
39134.08,0
39134.12,0
39134.17,0
39134.21,0
39134.25,0
39134.29,0.020171516
39134.33,0.23634166
39134.37,0.387723278
39134.42,0.532142689
39134.46,0.626801855
39134.5,0.673532001
39134.54,0.654921802
39134.58,0.626601438
39134.62,0.474610255
39134.67,0.328182519
39134.71,0.186861485
39134.75,0
39134.79,0
39134.83,0
39134.87,0
39134.92,0
39134.96,0
39135,0
39135.04,0
39135.08,0
39135.12,0
39135.17,0
39135.21,0
39135.25,0
39135.29,0.007079819
39135.33,0.206092674
39135.37,0.273528899
39135.42,0.398797012
39135.46,0.287830413
39135.5,0.124152159
39135.54,0.208381229
39135.58,0.338943233
39135.62,0.340353929
39135.67,0.246570474
39135.71,0.106322872
39135.75,0
39135.79,0
39135.83,0
39135.87,0
39135.92,0
39135.96,0
39136,0
39136.04,0
39136.08,0
39136.12,0
39136.17,0
39136.21,0
39136.25,0
39136.29,0.011477052
39136.33,0.154473131
39136.37,0.388390553
39136.42,0.532387712
39136.46,0.639287953
39136.5,0.708589462
39136.54,0.678968715
39136.58,0.672386154
39136.62,0.580682556
39136.67,0.431742678
39136.71,0.212613916
39136.75,0
39136.79,0
39136.83,0
39136.87,0
39136.92,0
39136.96,0
39137,0
39137.04,0
39137.08,0
39137.12,0
39137.17,0
39137.21,0
39137.25,0
39137.29,0.050430759
39137.33,0.303636296
39137.37,0.504703525
39137.42,0.631009977
39137.46,0.704228169
39137.5,0.719818171
39137.54,0.720194108
39137.58,0.657898566
39137.62,0.553318686
39137.67,0.405322291
39137.71,0.189784719
39137.75,0
39137.79,0
39137.83,0
39137.87,0
39137.92,0
39137.96,0
39138,0
39138.04,0
39138.08,0
39138.12,0
39138.17,0
39138.21,0
39138.25,0
39138.29,0.006486092
39138.33,0.037965437
39138.37,0.074819692
39138.42,0.108442963
39138.46,0.135694462
39138.5,0.143512821
39138.54,0.108012807
39138.58,0.113863457
39138.62,0.060595058
39138.67,0.093049372
39138.71,0.014202498
39138.75,0
39138.79,0
39138.83,0
39138.87,0
39138.92,0
39138.96,0
39139,0
39139.04,0
39139.08,0
39139.12,0
39139.17,0
39139.21,0
39139.25,0
39139.29,0.006403543
39139.33,0.031106249
39139.37,0.092713094
39139.42,0.159134155
39139.46,0.187655587
39139.5,0.258972136
39139.54,0.264333022
39139.58,0.225429327
39139.62,0.229097189
39139.67,0.103945537
39139.71,0.064205601
39139.75,0
39139.79,0
39139.83,0
39139.87,0
39139.92,0
39139.96,0
39140,0
39140.04,0
39140.08,0
39140.12,0
39140.17,0
39140.21,0
39140.25,0
39140.29,0.019495467
39140.33,0.16987432
39140.37,0.283993294
39140.42,0.445591382
39140.46,0.50080135
39140.5,0.407616224
39140.54,0.335976026
39140.58,0.431960836
39140.62,0.202020095
39140.67,0.159199659
39140.71,0.101791948
39140.75,0.001344536
39140.79,0
39140.83,0
39140.87,0
39140.92,0
39140.96,0
39141,0
39141.04,0
39141.08,0
39141.12,0
39141.17,0
39141.21,0
39141.25,0
39141.29,0.024688537
39141.33,0.174203563
39141.37,0.306076311
39141.42,0.434493292
39141.46,0.522271387
39141.5,0.487479897
39141.54,0.537768553
39141.58,0.467061067
39141.62,0.429948941
39141.67,0.33712876
39141.71,0.155729736
39141.75,0.00106176
39141.79,0
39141.83,0
39141.87,0
39141.92,0
39141.96,0
39142,0
39142.04,0
39142.08,0
39142.12,0
39142.17,0
39142.21,0
39142.25,0
39142.29,0.03383395
39142.33,0.253368929
39142.37,0.430741192
39142.42,0.573975237
39142.46,0.663643878
39142.5,0.613351035
39142.54,0.524975406
39142.58,0.405650275
39142.62,0.241232354
39142.67,0.098392074
39142.71,0.031673849
39142.75,0
39142.79,0
39142.83,0
39142.87,0
39142.92,0
39142.96,0
39143,0
39143.04,0
39143.08,0
39143.12,0
39143.17,0
39143.21,0
39143.25,0
39143.29,0.002124004
39143.33,0.068409063
39143.37,0.294675834
39143.42,0.414600823
39143.46,0.77730006
39143.5,0.821534378
39143.54,0.894310889
39143.58,0.837580907
39143.62,0.642702987
39143.67,0.520754402
39143.71,0.254571302
39143.75,0.00187355
39143.79,0
39143.83,0
39143.87,0
39143.92,0
39143.96,0
39144,0
39144.04,0
39144.08,0
39144.12,0
39144.17,0
39144.21,0
39144.25,0
39144.29,0.063425896
39144.33,0.302775749
39144.37,0.559604464
39144.42,0.72802515
39144.46,0.717657826
39144.5,0.645444293
39144.54,0.721262472
39144.58,0.549355415
39144.62,0.483965905
39144.67,0.381557135
39144.71,0.146143848
39144.75,0.005159274
39144.79,0
39144.83,0
39144.87,0
39144.92,0
39144.96,0
39145,0
39145.04,0
39145.08,0
39145.12,0
39145.17,0
39145.21,0
39145.25,0
39145.29,0.072749528
39145.33,0.308551341
39145.37,0.502634132
39145.42,0.456225028
39145.46,0.531014929
39145.5,0.497075607
39145.54,0.410262316
39145.58,0.508986564
39145.62,0.431336911
39145.67,0.297345376
39145.71,0.150674807
39145.75,0.000175497
39145.79,0
39145.83,0
39145.87,0
39145.92,0
39145.96,0
39146,0
39146.04,0
39146.08,0
39146.12,0
39146.17,0
39146.21,0
39146.25,0
39146.29,0.050077587
39146.33,0.300397428
39146.37,0.559199626
39146.42,0.634779887
39146.46,0.66889944
39146.5,0.685290987
39146.54,0.706488205
39146.58,0.635150423
39146.62,0.612062304
39146.67,0.512384502
39146.71,0.241798949
39146.75,0.006961461
39146.79,0
39146.83,0
39146.87,0
39146.92,0
39146.96,0
39147,0
39147.04,0
39147.08,0
39147.12,0
39147.17,0
39147.21,0
39147.25,0
39147.29,0.116299036
39147.33,0.415226161
39147.37,0.685538306
39147.42,0.888482993
39147.46,0.98593397
39147.5,1
39147.54,0.997723539
39147.58,0.918977952
39147.62,0.790863632
39147.67,0.54605079
39147.71,0.262660665
39147.75,0.002328967
39147.79,0
39147.83,0
39147.87,0
39147.92,0
39147.96,0
39148,0
39148.04,0
39148.08,0
39148.12,0
39148.17,0
39148.21,0
39148.25,0
39148.29,0.011155476
39148.33,0.084126954
39148.37,0.204993635
39148.42,0.318291462
39148.46,0.489537907
39148.5,0.508488401
39148.54,0.596839163
39148.58,0.656192994
39148.62,0.412679799
39148.67,0.293598853
39148.71,0.121375876
39148.75,0.007825887
39148.79,0
39148.83,0
39148.87,0
39148.92,0
39148.96,0
39149,0
39149.04,0
39149.08,0
39149.12,0
39149.17,0
39149.21,0
39149.25,0
39149.29,0.1068865
39149.33,0.401883249
39149.37,0.662368456
39149.42,0.830810275
39149.46,0.911846728
39149.5,0.94535258
39149.54,0.93345926
39149.58,0.878151435
39149.62,0.736555105
39149.67,0.563149468
39149.71,0.283635757
39149.75,0.010899928
39149.79,0
39149.83,0
39149.87,0
39149.92,0
39149.96,0
39150,0
39150.04,0
39150.08,0
39150.12,0
39150.17,0
39150.21,0
39150.25,0
39150.29,0.123952495
39150.33,0.429362106
