Date,Power (MW per MW installed capacity)
39093,0.497481603
39093.04167,0.433854825
39093.08333,0.366507279
39093.125,0.357177672
39093.16667,0.361300058
39093.20833,0.387901896
39093.25,0.441277488
39093.29167,0.443318118
39093.33333,0.415870261
39093.375,0.408645591
39093.41667,0.430757424
39093.45833,0.455339149
39093.5,0.468369369
39093.54167,0.470121771
39093.58333,0.468635356
39093.625,0.46563152
39093.66667,0.481410683
39093.70833,0.545884735
39093.75,0.571811861
39093.79167,0.565003397
39093.83333,0.553692723
39093.875,0.621707373
39093.91667,0.659210002
39093.95833,0.641207729
39094,0.651317445
39094.04167,0.64497371
39094.08333,0.629911129
39094.125,0.623229237
39094.16667,0.585418871
39094.20833,0.536463913
39094.25,0.494714324
39094.29167,0.446875096
39094.33333,0.436435602
39094.375,0.403947941
39094.41667,0.392509161
39094.45833,0.390247997
39094.5,0.401852274
39094.54167,0.405878345
39094.58333,0.405163431
39094.625,0.394457372
39094.66667,0.397779932
39094.70833,0.441841275
39094.75,0.454120874
39094.79167,0.415080131
39094.83333,0.388389493
39094.875,0.380520763
39094.91667,0.387301099
39094.95833,0.417015117
39095,0.427035881
39095.04167,0.465621665
39095.08333,0.499061978
39095.125,0.495631194
39095.16667,0.489045084
39095.20833,0.5216624
39095.25,0.531283936
39095.29167,0.486025132
39095.33333,0.33273986
39095.375,0.227796921
39095.41667,0.180361738
39095.45833,0.131048025
39095.5,0.103941751
39095.54167,0.101401415
39095.58333,0.085066101
39095.625,0.068085339
39095.66667,0.065391565
39095.70833,0.056116759
39095.75,0.05586085
39095.79167,0.055535597
39095.83333,0.051704418
39095.875,0.047879253
39095.91667,0.045721913
39095.95833,0.042511539
39096,0.03958733
39096.04167,0.041273683
39096.08333,0.033667076
39096.125,0.030152105
39096.16667,0.026802762
39096.20833,0.023415745
39096.25,0.022048966
39096.29167,0.019544675
39096.33333,0.018131714
39096.375,0.021222189
39096.41667,0.025447977
39096.45833,0.030939664
39096.5,0.037592582
39096.54167,0.047596341
39096.58333,0.05996299
39096.625,0.059209042
39096.66667,0.071217617
39096.70833,0.121699809
39096.75,0.211475797
39096.79167,0.260005026
39096.83333,0.241677448
39096.875,0.196713641
39096.91667,0.214194867
39096.95833,0.186729995
39097,0.210320049
39097.04167,0.254806301
39097.08333,0.276118473
39097.125,0.254733756
39097.16667,0.231277943
39097.20833,0.200409313
39097.25,0.174447121
39097.29167,0.145066467
39097.33333,0.104100904
39097.375,0.098227362
39097.41667,0.106488007
39097.45833,0.110297607
39097.5,0.111595122
39097.54167,0.113530429
39097.58333,0.101909424
39097.625,0.094782062
39097.66667,0.109254546
39097.70833,0.142270148
39097.75,0.102981957
39097.79167,0.092574765
39097.83333,0.087966769
39097.875,0.083732839
39097.91667,0.081781339
39097.95833,0.083012542
39098,0.077242996
39098.04167,0.078106425
39098.08333,0.083229499
39098.125,0.079679118
39098.16667,0.074832307
39098.20833,0.077137382
39098.25,0.07636846
39098.29167,0.071525501
39098.33333,0.054401424
39098.375,0.06356195
39098.41667,0.073456586
39098.45833,0.062845424
39098.5,0.054474476
39098.54167,0.040824014
39098.58333,0.035961815
39098.625,0.032529786
39098.66667,0.038239528
39098.70833,0.029334503
39098.75,0.034100789
39098.79167,0.039525852
39098.83333,0.046122165
39098.875,0.05403531
39098.91667,0.057747978
39098.95833,0.038896286
39099,0.04044902
39099.04167,0.051556835
39099.08333,0.057356971
39099.125,0.050781286
39099.16667,0.037021173
39099.20833,0.046615754
39099.25,0.080166159
39099.29167,0.136518242
39099.33333,0.181867357
39099.375,0.206179226
39099.41667,0.237398525
39099.45833,0.24108378
39099.5,0.261120322
39099.54167,0.29031875
39099.58333,0.302691973
39099.625,0.278453268
