date,util_pv_pjm
42143.96,0.091149273
42144,0.091149273
42144.04,0.091149273
42144.08,0.091149273
42144.12,0.091149273
42144.17,0.091149273
42144.21,0.091149273
42144.25,0.129458388
42144.29,0.335535007
42144.33,0.400264201
42144.37,0.622192867
42144.42,0.705416116
42144.46,0.594451783
42144.5,0.738441215
42144.54,0.730515192
42144.58,0.578599736
42144.62,0.474240423
42144.67,0.365918098
42144.71,0.219286658
42144.75,0.091149273
42144.79,0.091149273
42144.83,0.091149273
42144.87,0.091149273
42144.92,0.091149273
42144.96,0.091149273
42145,0.091149273
42145.04,0.091149273
42145.08,0.091149273
42145.12,0.091149273
42145.17,0.091149273
42145.21,0.091149273
42145.25,0.104359313
42145.29,0.120211361
42145.33,0.129458388
42145.37,0.171730515
42145.42,0.232496697
42145.46,0.294583884
42145.5,0.264200793
42145.54,0.239101717
42145.58,0.221928666
42145.62,0.241743725
42145.67,0.20343461
42145.71,0.194187583
42145.75,0.14002642
42145.79,0.091149273
42145.83,0.091149273
42145.87,0.091149273
42145.92,0.091149273
42145.96,0.091149273
42146,0.091149273
42146.04,0.091149273
42146.08,0.091149273
42146.12,0.091149273
42146.17,0.091149273
42146.21,0.091149273
42146.25,0.199471598
42146.29,0.463672391
42146.33,0.639365918
42146.37,0.746367239
42146.42,0.816380449
42146.46,0.830911493
42146.5,0.837516513
42146.54,0.645970938
42146.58,0.458388375
42146.62,0.381770145
42146.67,0.348745046
42146.71,0.282694848
42146.75,0.137384412
42146.79,0.091149273
42146.83,0.091149273
42146.87,0.091149273
42146.92,0.091149273
42146.96,0.091149273
42147,0.091149273
42147.04,0.091149273
42147.08,0.091149273
42147.12,0.091149273
42147.17,0.091149273
42147.21,0.091149273
42147.25,0.180977543
42147.29,0.429326288
42147.33,0.57992074
42147.37,0.58652576
42147.42,0.618229855
42147.46,0.627476882
42147.5,0.626155878
42147.54,0.616908851
42147.58,0.57331572
42147.62,0.520475561
42147.67,0.361955086
42147.71,0.27344782
42147.75,0.136063408
42147.79,0.091149273
42147.83,0.091149273
42147.87,0.091149273
42147.92,0.091149273
42147.96,0.091149273
42148,0.091149273
42148.04,0.091149273
42148.08,0.091149273
42148.12,0.091149273
42148.17,0.091149273
42148.21,0.091149273
42148.25,0.15984148
42148.29,0.301188904
42148.33,0.383091149
42148.37,0.451783355
42148.42,0.558784676
42148.46,0.529722589
42148.5,0.529722589
42148.54,0.501981506
42148.58,0.500660502
42148.62,0.383091149
42148.67,0.309114927
42148.71,0.173051519
42148.75,0.091149273
42148.79,0.091149273
42148.83,0.091149273
42148.87,0.091149273
42148.92,0.091149273
42148.96,0.091149273
42149,0.091149273
42149.04,0.091149273
42149.08,0.091149273
42149.12,0.091149273
42149.17,0.091149273
42149.21,0.091149273
42149.25,0.129458388
42149.29,0.266842801
42149.33,0.367239102
42149.37,0.437252312
42149.42,0.505944518
42149.46,0.575957728
42149.5,0.508586526
42149.54,0.553500661
42149.58,0.478203435
42149.62,0.466314399
42149.67,0.421400264
42149.71,0.306472919
42149.75,0.224570674
42149.79,0.177014531
42149.83,0.177014531
42149.87,0.177014531
42149.92,0.177014531
42149.96,0.177014531
42150,0.177014531
42150.04,0.177014531
42150.08,0.177014531
42150.12,0.177014531
42150.17,0.177014531
42150.21,0.177014531
42150.25,0.225891678
42150.29,0.377807133
42150.33,0.521796565
42150.37,0.607661823
42150.42,0.665785997
42150.46,0.688243065
42150.5,0.701453104
42150.54,0.673712021
42150.58,0.602377807
42150.62,0.536327609
42150.67,0.406869221
42150.71,0.187582563
42150.75,0.145310436
42150.79,0.091149273
42150.83,0.091149273
42150.87,0.091149273
42150.92,0.091149273
42150.96,0.091149273
42151,0.091149273
42151.04,0.091149273
42151.08,0.091149273
42151.12,0.091149273
42151.17,0.091149273
42151.21,0.091149273
42151.25,0.124174373
42151.29,0.225891678
42151.33,0.274768824
42151.37,0.482166446
42151.42,0.532364597
42151.46,0.644649934
42151.5,0.722589168
42151.54,0.594451783
42151.58,0.504623514
42151.62,0.425363276
42151.67,0.22324967
42151.71,0.231175694
42151.75,0.145310436
42151.79,0.091149273
42151.83,0.091149273
42151.87,0.091149273
42151.92,0.091149273
42151.96,0.091149273
42152,0.091149273
42152.04,0.091149273
42152.08,0.091149273
42152.12,0.091149273
42152.17,0.091149273
42152.21,0.091149273
42152.25,0.091149273
42152.29,0.162483487
42152.33,0.365918098
42152.37,0.507265522
42152.42,0.544253633
42152.46,0.70673712
42152.5,0.696169089
42152.54,0.746367239
42152.58,0.598414795
42152.62,0.42007926
42152.67,0.376486129
42152.71,0.294583884
42152.75,0.158520476
42152.79,0.091149273
42152.83,0.091149273
42152.87,0.091149273
42152.92,0.091149273
42152.96,0.091149273
42153,0.091149273
42153.04,0.091149273
42153.08,0.091149273
42153.12,0.091149273
42153.17,0.091149273
42153.21,0.091149273
42153.25,0.141347424
42153.29,0.43989432
42153.33,0.585204756
42153.37,0.638044914
42153.42,0.805812417
42153.46,0.680317041
42153.5,0.793923382
42153.54,0.690885073
42153.58,0.611624835
42153.62,0.589167768
42153.67,0.348745046
42153.71,0.14002642
42153.75,0.059445178
42153.79,0.017173052
42153.83,0.017173052
42153.87,0.017173052
42153.92,0.017173052
42153.96,0.017173052
42154,0.017173052
42154.04,0.017173052
42154.08,0.017173052
42154.12,0.017173052
42154.17,0.017173052
42154.21,0.017173052
42154.25,0.114927345
42154.29,0.236459709
42154.33,0.277410832
42154.37,0.417437252
42154.42,0.511228534
42154.46,0.554821664
42154.5,0.605019815
42154.54,0.429326288
42154.58,0.536327609
42154.62,0.507265522
42154.67,0.310435931
42154.71,0.132100396
42154.75,0.038309115
42154.79,0.017173052
42154.83,0.017173052
42154.87,0.017173052
42154.92,0.017173052
42154.96,0.017173052
42155,0.017173052
42155.04,0.017173052
42155.08,0.017173052
42155.12,0.017173052
42155.17,0.017173052
42155.21,0.017173052
42155.25,0.105680317
42155.29,0.336856011
42155.33,0.408190225
42155.37,0.545574637
42155.42,0.583883752
42155.46,0.718626156
42155.5,0.553500661
42155.54,0.56010568
42155.58,0.537648613
42155.62,0.479524439
42155.67,0.315719947
42155.71,0.099075297
42155.75,0.017173052
42155.79,0.017173052
42155.83,0.017173052
42155.87,0.017173052
42155.92,0.017173052
42155.96,0.017173052
42156,0.017173052
42156.04,0.017173052
42156.08,0.017173052
42156.12,0.017173052
42156.17,0.017173052
42156.21,0.017173052
42156.25,0.048877147
42156.29,0.128137384
42156.33,0.177014531
42156.37,0.207397622
42156.42,0.309114927
42156.46,0.495376486
42156.5,0.491413474
42156.54,0.376486129
42156.58,0.274768824
42156.62,0.34346103
42156.67,0.247027741
42156.71,0.169088507
42156.75,0.077939234
42156.79,0.017173052
42156.83,0.017173052
42156.87,0.017173052
42156.92,0.017173052
42156.96,0.017173052
42157,0.017173052
42157.04,0.017173052
42157.08,0.017173052
42157.12,0.017173052
42157.17,0.017173052
42157.21,0.017173052
42157.25,0.017173052
42157.29,0.122853369
42157.33,0.186261559
42157.37,0.217965654
42157.42,0.235138705
42157.46,0.215323646
42157.5,0.162483487
42157.54,0.22324967
42157.58,0.19682959
42157.62,0.188903567
42157.67,0.128137384
42157.71,0.120211361
42157.75,0.067371202
42157.79,0.017173052
42157.83,0.017173052
42157.87,0.017173052
42157.92,0.017173052
42157.96,0.017173052
42158,0.017173052
42158.04,0.017173052
42158.08,0.017173052
42158.12,0.017173052
42158.17,0.017173052
42158.21,0.017173052
42158.25,0.017173052
42158.29,0.145310436
42158.33,0.28665786
42158.37,0.470277411
42158.42,0.486129458
42158.46,0.488771466
42158.5,0.498018494
42158.54,0.495376486
42158.58,0.500660502
42158.62,0.414795244
42158.67,0.28665786
42158.71,0.12681638
42158.75,0.052840159
42158.79,0.017173052
42158.83,0.017173052
42158.87,0.017173052
42158.92,0.017173052
42158.96,0.017173052
42159,0.017173052
42159.04,0.017173052
42159.08,0.017173052
42159.12,0.017173052
42159.17,0.017173052
42159.21,0.017173052
42159.25,0.017173052
42159.29,0.161162483
42159.33,0.347424042
42159.37,0.476882431
42159.42,0.468956407
42159.46,0.450462351
42159.5,0.487450462
42159.54,0.430647292
42159.58,0.446499339
42159.62,0.284015852
42159.67,0.260237781
42159.71,0.073976222
42159.75,0.059445178
42159.79,0.017173052
42159.83,0.017173052
42159.87,0.017173052
42159.92,0.017173052
42159.96,0.017173052
42160,0.017173052
42160.04,0.017173052
42160.08,0.017173052
42160.12,0.017173052
42160.17,0.017173052
42160.21,0.017173052
42160.25,0.017173052
42160.29,0.068692206
42160.33,0.066050198
42160.37,0.163804491
42160.42,0.307793923
42160.46,0.282694848
42160.5,0.431968296
42160.54,0.471598415
42160.58,0.556142668
42160.62,0.454425363
42160.67,0.224570674
42160.71,0.215323646
42160.75,0.077939234
42160.79,0.017173052
42160.83,0.017173052
42160.87,0.017173052
42160.92,0.017173052
42160.96,0.017173052
42161,0.017173052
42161.04,0.017173052
42161.08,0.017173052
42161.12,0.017173052
42161.17,0.017173052
42161.21,0.017173052
42161.25,0.017173052
42161.29,0.208718626
42161.33,0.414795244
42161.37,0.479524439
42161.42,0.322324967
42161.46,0.498018494
42161.5,0.541611625
42161.54,0.593130779
42161.58,0.663143989
42161.62,0.471598415
42161.67,0.457067371
42161.71,0.254953765
42161.75,0.055482166
42161.79,0.017173052
42161.83,0.017173052
42161.87,0.017173052
42161.92,0.017173052
42161.96,0.017173052
42162,0.017173052
42162.04,0.017173052
42162.08,0.017173052
42162.12,0.017173052
42162.17,0.017173052
42162.21,0.017173052
42162.25,0.104359313
42162.29,0.342140026
42162.33,0.498018494
42162.37,0.63672391
42162.42,0.693527081
42162.46,0.749009247
42162.5,0.760898283
42162.54,0.664464993
42162.58,0.721268164
42162.62,0.663143989
42162.67,0.377807133
42162.71,0.161162483
42162.75,0.034346103
42162.79,0.017173052
42162.83,0.017173052
42162.87,0.017173052
42162.92,0.017173052
42162.96,0.017173052
42163,0.017173052
42163.04,0.017173052
42163.08,0.017173052
42163.12,0.017173052
42163.17,0.017173052
42163.21,0.017173052
42163.25,0.060766182
42163.29,0.252311757
42163.33,0.364597094
42163.37,0.659180978
42163.42,0.71334214
42163.46,0.733157199
42163.5,0.793923382
42163.54,0.797886394
42163.58,0.686922061
42163.62,0.512549538
42163.67,0.449141347
42163.71,0.081902246
42163.75,0.033025099
42163.79,0.017173052
42163.83,0.017173052
42163.87,0.017173052
42163.92,0.017173052
42163.96,0.017173052
42164,0.017173052
42164.04,0.017173052
42164.08,0.017173052
42164.12,0.017173052
42164.17,0.017173052
42164.21,0.017173052
42164.25,0.017173052
42164.29,0.089828269
42164.33,0.237780713
42164.37,0.383091149
42164.42,0.504623514
42164.46,0.651254954
42164.5,0.623513871
42164.54,0.749009247
42164.58,0.672391017
42164.62,0.605019815
42164.67,0.377807133
