Date,Blue_Creek_OH
39093.75,0.769736817
39093.79,0.749077848
39093.83,0.790233357
39093.87,0.804361703
39093.92,0.799037974
39093.96,0.804383929
39094,0.783066088
39094.04,0.755824377
39094.08,0.765495615
39094.12,0.715613591
39094.17,0.672715407
39094.21,0.704471768
39094.25,0.667982376
39094.29,0.63145797
39094.33,0.624132999
39094.37,0.65581985
39094.42,0.61567696
39094.46,0.544656996
39094.5,0.481081749
39094.54,0.376720322
39094.58,0.415648123
39094.62,0.440509014
39094.67,0.38659667
39094.71,0.358726577
39094.75,0.352303367
39094.79,0.350279065
39094.83,0.361095595
39094.87,0.329274335
39094.92,0.282826383
39094.96,0.176214383
39095,0.087324372
39095.04,0.063193854
39095.08,0.038542574
39095.12,0.024431623
39095.17,0.055886828
39095.21,0.085748753
39095.25,0.125098767
39095.29,0.136139175
39095.33,0.130432955
39095.37,0.124257541
39095.42,0.127856577
39095.46,0.099855719
39095.5,0.089170944
39095.54,0.060029598
39095.58,0.06051608
39095.62,0.065089885
39095.67,0.04480027
39095.71,0.052330587
39095.75,0.047982101
39095.79,0.028547489
39095.83,0.011635832
39095.87,0.00922725
39095.92,0.009899664
39095.96,0.010044806
39096,0.002210774
39096.04,0.00795165
39096.08,0.012316307
39096.12,0.014755122
39096.17,0.012736765
39096.21,0.013910744
39096.25,0.012804409
39096.29,0.009220721
39096.33,0.010236081
39096.37,0.015310525
39096.42,0.012930653
39096.46,0.033076405
39096.5,0.020589517
39096.54,0.017565782
39096.58,0.028922094
39096.62,0.020101305
39096.67,0.035464073
39096.71,0.065354814
39096.75,0.133670603
39096.79,0.173755228
39096.83,0.115410402
39096.87,0.435616272
39096.92,0.220702143
39096.96,0.278265175
39097,0.275902581
39097.04,0.212643544
39097.08,0.147951426
39097.12,0.08282277
39097.17,0.097343554
39097.21,0.075648204
39097.25,0.006358112
39097.29,0.004728839
39097.33,0
39097.37,0.008710697
39097.42,0.012658794
39097.46,0.071948723
39097.5,0.195086668
39097.54,0.236826763
39097.58,0.228612797
39097.62,0.134051287
39097.67,0.145392504
39097.71,0.266043747
39097.75,0.271860995
39097.79,0.280755687
39097.83,0.174456448
39097.87,0.129051764
39097.92,0.088840331
39097.96,0.110751962
39098,0.146917705
39098.04,0.127418127
39098.08,0.153915859
39098.12,0.241628976
39098.17,0.186983146
39098.21,0.262895155
39098.25,0.300548111
39098.29,0.289590468
39098.33,0.323651832
39098.37,0.331839722
39098.42,0.246057818
39098.46,0.248665917
39098.5,0.247282042
39098.54,0.26504093
39098.58,0.258034781
39098.62,0.233526262
39098.67,0.228701455
39098.71,0.210850075
39098.75,0.147410138
39098.79,0.061781574
39098.83,0.014601525
39098.87,0.006192215
39098.92,0
39098.96,0
39099,0
39099.04,0
39099.08,0
39099.12,0
39099.17,0
39099.21,0.00994281
39099.25,0.010297151
39099.29,0.035417688
39099.33,0.047738046
39099.37,0.011147956
39099.42,0.008303151
39099.46,0.012972358
39099.5,0.032031023
39099.54,0.042730846
39099.58,0.061366348
39099.62,0.082383556
39099.67,0.078932761
39099.71,0.145330556
39099.75,0.192357541
39099.79,0.229710217
39099.83,0.281582426
39099.87,0.319591242
39099.92,0.336225327
39099.96,0.390225723
39100,0.399897801
39100.04,0.385821664
39100.08,0.386464992
39100.12,0.32027374
39100.17,0.273316674
39100.21,0.246892367
39100.25,0.231935631
39100.29,0.193584699
39100.33,0.20731055
39100.37,0.291220311
39100.42,0.18431124
39100.46,0.20503164
39100.5,0.297359427
39100.54,0.326875386
39100.58,0.394344493
39100.62,0.397908809
39100.67,0.400545985
39100.71,0.470202688
39100.75,0.55453666
39100.79,0.532049464
39100.83,0.586567888
39100.87,0.63492681
39100.92,0.567751096
39100.96,0.602796743
39101,0.556677822
39101.04,0.575882269
39101.08,0.603847151
39101.12,0.578291776
39101.17,0.527504316
39101.21,0.574207086
39101.25,0.641717482
39101.29,0.643482613
39101.33,0.592364445
39101.37,0.590299629
39101.42,0.620900322
39101.46,0.61417448
39101.5,0.567036367
39101.54,0.599335604
39101.58,0.639352448
39101.62,0.680911752
39101.67,0.637921185
39101.71,0.56156517
39101.75,0.540216678
39101.79,0.504502084
39101.83,0.441190248
39101.87,0.50916069
39101.92,0.467732237
39101.96,0.32649863
39102,0.270597654
39102.04,0.216440834
39102.08,0.2207289
39102.12,0.15488939
39102.17,0.205876833
39102.21,0.146769435
39102.25,0.074789329
39102.29,0.023259862
39102.33,0.007325256
39102.37,0
39102.42,0
39102.46,0
39102.5,0
39102.54,0
39102.58,0
39102.62,0
39102.67,0
39102.71,0
39102.75,0
39102.79,0.005939302
39102.83,0.007357272
39102.87,0.008328105
39102.92,0.009953845
39102.96,0.015912538
39103,0.022422036
39103.04,0.040563598
39103.08,0.057344942
39103.12,0.090447059
39103.17,0.1206315
39103.21,0.149071845
39103.25,0.147886123
39103.29,0.169642026
39103.33,0.152524133
39103.37,0.159725103
39103.42,0.202447715
39103.46,0.213653019
39103.5,0.167160284
39103.54,0.110915988
39103.58,0.061098285
39103.62,0.047601074
39103.67,0.021163647
39103.71,0.011631516
39103.75,0.008546647
39103.79,0.008256328
39103.83,0.00831797
39103.87,0.008346213
39103.92,0.007391056
39103.96,0.010665377
39104,0.011730268
39104.04,0.013464828
39104.08,0.011749854
39104.12,0.009150596
39104.17,0.00895603
39104.21,0.009014089
39104.25,0.009370018
39104.29,0.00907185
39104.33,0.009252695
39104.37,0.002418219
39104.42,0.010236491
39104.46,0.009733736
39104.5,0.011339158
39104.54,0.028639424
39104.58,0.055987408
39104.62,0.10905506
39104.67,0.130485279
39104.71,0.225483539
39104.75,0.17264538
39104.79,0.176272055
39104.83,0.087541421
39104.87,0.18855935
39104.92,0.261475145
39104.96,0.288758727
39105,0.323819949
39105.04,0.369113655
39105.08,0.389452604
39105.12,0.410123339
39105.17,0.433980985
39105.21,0.415666907
39105.25,0.408711733
39105.29,0.444384433
39105.33,0.470033765
39105.37,0.394986043
39105.42,0.431222537
39105.46,0.492317376
39105.5,0.544054862
39105.54,0.595955948
39105.58,0.59477922
39105.62,0.523106461
39105.67,0.409252684
39105.71,0.426359343
39105.75,0.32535094
39105.79,0.262125382
39105.83,0.244198605
39105.87,0.149311383
39105.92,0.094060192
39105.96,0.067077195
39106,0.026881208
39106.04,0.008982088
39106.08,0.008691879
39106.12,0.011767707
39106.17,0.012367935
39106.21,0.009685578
39106.25,0.014860026
39106.29,0.035088093
39106.33,0.021118892
39106.37,0.009627049
39106.42,0.007610299
39106.46,0.014297545
39106.5,0.016464557
39106.54,0.018986755
39106.58,0.040922051
39106.62,0.059194685
39106.67,0.085890853
39106.71,0.326675412
39106.75,0.363532502
39106.79,0.394196187
39106.83,0.365380762
39106.87,0.349625174
39106.92,0.268050709
39106.96,0.169870916
39107,0.115443059
39107.04,0.083241889
39107.08,0.085200165
39107.12,0.131897984
39107.17,0.149691475
39107.21,0.152330498
39107.25,0.277191442
39107.29,0.343836953
39107.33,0.44001288
39107.37,0.336223173
39107.42,0.308483637
39107.46,0.361098189
39107.5,0.392736405
39107.54,0.388419292
39107.58,0.409465591
39107.62,0.409936259
39107.67,0.322042358
39107.71,0.251578372
39107.75,0.16075739
39107.79,0.093227085
39107.83,0.046910289
39107.87,0.014762139
39107.92,0.003102546
39107.96,0
39108,0.002730329
39108.04,0.045998552
39108.08,0.120075094
39108.12,0.111216717
39108.17,0.106271213
39108.21,0.149648207
39108.25,0.195100476
39108.29,0.285433083
39108.33,0.382142606
39108.37,0.321960134
39108.42,0.315112087
39108.46,0.367846465
39108.5,0.476108759
39108.54,0.57500833
39108.58,0.618136831
39108.62,0.672037884
39108.67,0.74588544
39108.71,0.792626245
39108.75,0.801252242
39108.79,0.771786222
39108.83,0.817570238
39108.87,0.796097739
39108.92,0.769288834
39108.96,0.802226073
39109,0.797558605
39109.04,0.758093281
39109.08,0.72427887
39109.12,0.691388485
39109.17,0.668053957
39109.21,0.602322021
39109.25,0.594807235
39109.29,0.586696743
39109.33,0.554745656
39109.37,0.510504758
39109.42,0.377539825
39109.46,0.264072932
39109.5,0.210474046
39109.54,0.136272429
39109.58,0.15816183
39109.62,0.158207388
39109.67,0.236655581
39109.71,0.402989952
39109.75,0.506191426
39109.79,0.409089619
39109.83,0.409183582
39109.87,0.411057079
39109.92,0.318722233
39109.96,0.262301483
39110,0.237673929
39110.04,0.265972392
39110.08,0.143772571
39110.12,0.178944175
39110.17,0.067553407
39110.21,0.005767269
39110.25,0.008842214
39110.29,0.232887806
39110.33,0.473296652
39110.37,0.525112934
39110.42,0.5075004
39110.46,0.465942872
39110.5,0.492529574
39110.54,0.512764318
39110.58,0.573853211
39110.62,0.567362654
39110.67,0.523018635
39110.71,0.475882928
39110.75,0.398852034
39110.79,0.356654501
39110.83,0.260335214
39110.87,0.311672747
39110.92,0.233587913
39110.96,0.210489785
39111,0.16900126
39111.04,0.14876732
39111.08,0.151331798
39111.12,0.161382095
39111.17,0.351473319
39111.21,0.370314049
39111.25,0.30168264
39111.29,0.262218843
39111.33,0.203942708
39111.37,0.122873255
39111.42,0.134498473
39111.46,0.21577992
39111.5,0.287938304
39111.54,0.342072141
39111.58,0.403721906
39111.62,0.504266442
39111.67,0.521355343
39111.71,0.425709517
39111.75,0.465769106
39111.79,0.493081354
39111.83,0.46170952
39111.87,0.399881814
39111.92,0.401758383
39111.96,0.377260915
39112,0.308104381
39112.04,0.205948975
39112.08,0.156331952
39112.12,0.256097321
39112.17,0.269638989
39112.21,0.342862521
39112.25,0.31372021
39112.29,0.419796696
39112.33,0.480291426
39112.37,0.487189232
39112.42,0.58982979
39112.46,0.599285161
39112.5,0.596789502
39112.54,0.61805463
39112.58,0.643546843
39112.62,0.631337926
39112.67,0.591177448
39112.71,0.472796466
39112.75,0.447164941
39112.79,0.608806878
39112.83,0.605195063
39112.87,0.698914786
39112.92,0.685362383
39112.96,0.600705858
39113,0.499007334
39113.04,0.391527011
39113.08,0.378566677
39113.12,0.378750731
39113.17,0.33778275
39113.21,0.318971652
39113.25,0.354896697
39113.29,0.317845842
39113.33,0.286308082
39113.37,0.142181418
39113.42,0.109023154
39113.46,0.146227422
39113.5,0.169759619
39113.54,0.196148888
39113.58,0.207652507
39113.62,0.240643319
39113.67,0.236691261
39113.71,0.197390771
39113.75,0.219549851
39113.79,0.396351257
39113.83,0.404109147
39113.87,0.358085141
39113.92,0.388322819
39113.96,0.363302682
39114,0.371916516
39114.04,0.393585354
39114.08,0.317327245
39114.12,0.273537167
39114.17,0.266171494
39114.21,0.241912607
39114.25,0.291785491
39114.29,0.333425274
39114.33,0.369951104
39114.37,0.331269775
39114.42,0.296661252
39114.46,0.251900878
39114.5,0.229371715
39114.54,0.212785696
39114.58,0.207297348
39114.62,0.193584539
39114.67,0.16714926
39114.71,0.13732387
39114.75,0.076528197
39114.79,0.136233988
39114.83,0.163402142
39114.87,0.098379157
39114.92,0.150946974
39114.96,0.153015185
39115,0.130188463
39115.04,0.113696136
39115.08,0.146958448
39115.12,0.178984184
39115.17,0.17529965
39115.21,0.170768382
39115.25,0.160470391
39115.29,0.131562132
39115.33,0.127738139
39115.37,0.181765726
39115.42,0.330181263
39115.46,0.44302442
39115.5,0.50459018
39115.54,0.546582625
39115.58,0.625176043
39115.62,0.68704159
39115.67,0.631217345
39115.71,0.585547951
39115.75,0.642877164
39115.79,0.671983511
39115.83,0.583404044
39115.87,0.522354204
39115.92,0.415547386
39115.96,0.392354063
39116,0.348265407
39116.04,0.324957832
39116.08,0.333270939
39116.12,0.402325623
39116.17,0.472980771
39116.21,0.525024717
39116.25,0.545223819
39116.29,0.592975909
39116.33,0.685604277
39116.37,0.688997383
39116.42,0.789357302
39116.46,0.792403197
39116.5,0.835572617
39116.54,0.835572617
39116.58,0.835572617
39116.62,0.811924708
39116.67,0.798444482
39116.71,0.80501428
39116.75,0.79859142
39116.79,0.734269971
39116.83,0.484155299
39116.87,0.383408964
39116.92,0.368041482
39116.96,0.611303089
39117,0.509627905
39117.04,0.322179617
39117.08,0.188461585
39117.12,0.29182352
39117.17,0.279122737
39117.21,0.289858051
39117.25,0.210438091
39117.29,0.302344337
39117.33,0.482433583
39117.37,0.60587564
39117.42,0.588398188
39117.46,0.520155341
39117.5,0.604037987
39117.54,0.677482186
39117.58,0.72173875
39117.62,0.708891263
39117.67,0.721415837
39117.71,0.676705245
39117.75,0.61786735
39117.79,0.623240244
39117.83,0.568874688
39117.87,0.507972498
39117.92,0.429903153
39117.96,0.51347665
39118,0.420418044
39118.04,0.370387763
39118.08,0.354627498
39118.12,0.312537837
39118.17,0.294096543
39118.21,0.303888989
39118.25,0.349566876
39118.29,0.337395231
39118.33,0.376477168
39118.37,0.436513907
39118.42,0.387329189
39118.46,0.317604455
39118.5,0.276635164
39118.54,0.283025897
39118.58,0.324378898
39118.62,0.322869023
39118.67,0.352302913
39118.71,0.327483534
39118.75,0.21333371
39118.79,0.193082678
39118.83,0.223821997
39118.87,0.16784897
39118.92,0.089429098
39118.96,0.168631452
39119,0.250884582
39119.04,0.300496955
39119.08,0.300763209
39119.12,0.293462787
39119.17,0.311503187
39119.21,0.280104276
39119.25,0.226933227
39119.29,0.148117575
39119.33,0.041084135
39119.37,0.019112584
39119.42,0.009422851
39119.46,0.010489567
39119.5,0.017397612
39119.54,0.021797914
39119.58,0.010159992
39119.62,0.010147462
39119.67,0.001199132
39119.71,0
39119.75,0
39119.79,0
39119.83,0
39119.87,0
39119.92,0.007196837
39119.96,0.013605631
39120,0.064873953
39120.04,0.154779712
39120.08,0.205371455
39120.12,0.206573722
39120.17,0.183657494
39120.21,0.139427614
39120.25,0.288243686
39120.29,0.344186011
