Date,NREL_wind_scaled
39083.00,0.725302394
39083.04,0.70492755
39083.08,0.680462451
39083.13,0.57723692
39083.17,0.54953902
39083.21,0.556093474
39083.25,0.552423801
39083.29,0.534149087
39083.33,0.56643632
39083.38,0.554605051
39083.42,0.51908869
39083.46,0.546253721
39083.50,0.57565169
39083.54,0.577210629
39083.58,0.550637156
39083.63,0.487917793
39083.67,0.460871716
39083.71,0.517084233
39083.75,0.57584188
39083.79,0.616116429
39083.83,0.630131272
39083.87,0.585465128
39083.92,0.511956546
39083.96,0.461814399
39084.00,0.393419355
39084.04,0.340733948
39084.08,0.297078124
39084.12,0.259153767
39084.17,0.228617922
39084.21,0.222376894
39084.25,0.216615837
39084.29,0.221073993
39084.33,0.223426708
39084.37,0.201120277
39084.42,0.180888186
39084.46,0.178440615
39084.50,0.18511568
39084.54,0.186167828
39084.58,0.191200807
39084.62,0.230310677
39084.67,0.346557762
39084.71,0.461783195
39084.75,0.513983807
39084.79,0.552985778
39084.83,0.563791352
39084.87,0.568441432
39084.92,0.545148548
39084.96,0.544344437
39085.00,0.561550517
39085.04,0.598049527
39085.08,0.606940127
39085.12,0.629259202
39085.17,0.644351745
39085.21,0.639758046
39085.25,0.646525454
39085.29,0.650816728
39085.33,0.6108033
39085.37,0.511875871
39085.42,0.385217479
39085.46,0.353296016
39085.50,0.379037135
39085.54,0.415394176
39085.58,0.448954321
39085.62,0.519084888
39085.67,0.654058639
39085.71,0.732255162
39085.75,0.747243394
39085.79,0.752781135
39085.83,0.746288289
39085.87,0.741078685
39085.92,0.745221543
39085.96,0.728200199
39086.00,0.706465064
39086.04,0.717860132
39086.08,0.732170723
39086.12,0.732393102
39086.17,0.730526971
39086.21,0.739002793
39086.25,0.752528982
39086.29,0.753553411
39086.33,0.738159085
39086.37,0.705491722
39086.42,0.629815918
39086.46,0.599001123
39086.50,0.613613452
39086.54,0.596860782
39086.58,0.587437036
39086.62,0.613235476
39086.67,0.633904442
39086.71,0.66076844
39086.75,0.63112964
39086.79,0.611171245
39086.83,0.62269615
39086.87,0.606428703
39086.92,0.552143367
39086.96,0.537525097
39087.00,0.530556305
39087.04,0.523402619
39087.08,0.510256355
39087.12,0.504557424
39087.17,0.46223812
39087.21,0.386623827
39087.25,0.347631887
39087.29,0.320455505
39087.33,0.284345921
39087.37,0.256797695
39087.42,0.230818072
39087.46,0.206463796
39087.50,0.169001294
39087.54,0.136348678
39087.58,0.152904199
39087.62,0.135056732
39087.67,0.151077115
39087.71,0.170417394
39087.75,0.217702054
39087.79,0.247892002
39087.83,0.289565046
39087.87,0.29542076
39087.92,0.336010651
39087.96,0.357003646
39088.00,0.381720053
39088.04,0.387732381
39088.08,0.46109776
39088.12,0.449939841
39088.17,0.484900989
39088.21,0.519154227
39088.25,0.488759097
39088.29,0.49810256
39088.33,0.427371407
39088.37,0.346704607
39088.42,0.3395502
39088.46,0.326202066
39088.50,0.317102141
39088.54,0.312332775
39088.58,0.33113655
39088.62,0.30458259
39088.67,0.325181696
39088.71,0.338144027
39088.75,0.334983346
39088.79,0.334359188
39088.83,0.294454534
39088.87,0.263913571
39088.92,0.237819889
39088.96,0.221731371
39089.00,0.186005329
39089.04,0.175179384
39089.08,0.184621235
39089.12,0.191816686
39089.17,0.209190506
39089.21,0.232308475
39089.25,0.217413166
39089.29,0.208839083
39089.33,0.177214707
39089.37,0.109518012
39089.42,0.072634682
39089.46,0.086462626
39089.50,0.100490644
39089.54,0.111282766
39089.58,0.147984731
39089.62,0.186524982
39089.67,0.252629644
39089.71,0.374174792
39089.75,0.428879515
39089.79,0.479188066
39089.83,0.498636693
39089.87,0.539287938
39089.92,0.545561817
39089.96,0.582474141
39090.00,0.616780459
39090.04,0.637961191
39090.08,0.638652169
39090.12,0.63148421
39090.17,0.610772775
39090.21,0.600699747
39090.25,0.599173508
39090.29,0.604196589
39090.33,0.56361379
39090.37,0.531378251
39090.42,0.557824507
39090.46,0.569944142
39090.50,0.591362912
39090.54,0.610249629
39090.58,0.601456273
39090.62,0.591383884
39090.67,0.60698637
39090.71,0.679172626
39090.75,0.686295931
39090.79,0.68281221
39090.83,0.656123705
39090.87,0.645405727
39090.92,0.6222885
39090.96,0.611510452
39091.00,0.575534981
39091.04,0.503081299
39091.08,0.506025045
39091.12,0.537585868
39091.17,0.528658487
39091.21,0.536841834
39091.25,0.585365984
39091.29,0.584279093
39091.33,0.603418211
39091.37,0.607820534
39091.42,0.662454866
39091.46,0.660017928
39091.50,0.678662588
39091.54,0.676624447
39091.58,0.691409839
39091.62,0.680550063
39091.67,0.65449637
39091.71,0.695869761
39091.75,0.679116265
39091.79,0.681634801
39091.83,0.650136792
39091.87,0.601602413
39091.92,0.587978437
