Date,NREL_wind
39083.00,0.885390961
39083.04,0.860518985
39083.08,0.830653956
39083.13,0.704644511
39083.17,0.670833137
39083.21,0.678834289
39083.25,0.674354646
39083.29,0.652046342
39083.33,0.691460006
39083.38,0.677017341
39083.42,0.633661818
39083.46,0.666822708
39083.50,0.702709389
39083.54,0.704612417
39083.58,0.672173653
39083.63,0.595610888
39083.67,0.562595208
39083.71,0.631214938
39083.75,0.702941559
39083.79,0.752105496
39083.83,0.769213691
39083.87,0.714688847
39083.92,0.624955469
39083.96,0.56374596
39084.00,0.480254778
39084.04,0.415940661
39084.08,0.362649135
39084.12,0.316354123
39084.17,0.279078413
39084.21,0.271459867
39084.25,0.264427232
39084.29,0.26986939
39084.33,0.272741396
39084.37,0.245511495
39084.42,0.220813782
39084.46,0.217825984
39084.50,0.225974367
39084.54,0.227258745
39084.58,0.233402602
39084.62,0.281144793
39084.67,0.423049906
39084.71,0.563707868
39084.75,0.627430186
39084.79,0.675040663
39084.83,0.68823124
39084.87,0.693907685
39084.92,0.665473602
39084.96,0.664492007
39085.00,0.685495809
39085.04,0.730050872
39085.08,0.740903803
39085.12,0.768149139
39085.17,0.786572904
39085.21,0.780965284
39085.25,0.789226393
39085.29,0.794464836
39085.33,0.745619654
39085.37,0.624856988
39085.42,0.470242586
39085.46,0.431275425
39085.50,0.462698118
39085.54,0.507079876
39085.58,0.548047408
39085.62,0.633657177
39085.67,0.798422301
39085.71,0.893878341
39085.75,0.912174773
39085.79,0.918934802
39085.83,0.911008857
39085.87,0.90464939
39085.92,0.909706658
39085.96,0.888928368
39086.00,0.862395859
39086.04,0.876306044
39086.08,0.893775265
39086.12,0.894046728
39086.17,0.891768705
39086.21,0.902115307
39086.25,0.918626994
39086.29,0.919877535
39086.33,0.901085376
39086.37,0.861207682
39086.42,0.768828733
39086.46,0.731212503
39086.50,0.749050062
39086.54,0.728599747
39086.58,0.717095994
39086.62,0.74858866
39086.67,0.773819674
39086.71,0.806613087
39086.75,0.770432419
39086.79,0.746068812
39086.83,0.760137491
39086.87,0.740279497
39086.92,0.674012316
39086.96,0.656167505
39087.00,0.647660563
39087.04,0.638927916
39087.08,0.622880012
39087.12,0.615923215
39087.17,0.564263205
39087.21,0.471959343
39087.25,0.424361112
39087.29,0.391186365
39087.33,0.347106682
39087.37,0.313478019
39087.42,0.28176418
39087.46,0.252034434
39087.50,0.206303218
39087.54,0.166443524
39087.58,0.186653176
39087.62,0.16486642
39087.67,0.184422818
39087.71,0.20803188
39087.75,0.265753198
39087.79,0.302606664
39087.83,0.353477772
39087.87,0.360625957
39087.92,0.410174839
39087.96,0.435801403
39088.00,0.465973209
39088.04,0.473312577
39088.08,0.562871145
39088.12,0.549250452
39088.17,0.591928216
39088.21,0.633741821
39088.25,0.596637884
39088.29,0.608043635
39088.33,0.521700718
39088.37,0.423229163
39088.42,0.414495637
39088.46,0.398201305
39088.50,0.387092847
39088.54,0.381270788
39088.58,0.404224928
39088.62,0.371809984
39088.67,0.39695572
39088.71,0.412779093
39088.75,0.408920788
39088.79,0.408158866
39088.83,0.359446466
39088.87,0.322164509
39088.92,0.290311437
39088.96,0.270671865
39089.00,0.22706038
39089.04,0.213844935
39089.08,0.225370789
39089.12,0.234154418
39089.17,0.255362983
39089.21,0.283583544
39089.25,0.265400547
39089.29,0.254933994
39089.33,0.216329493
39089.37,0.133690801
39089.42,0.088666591
39089.46,0.105546635
39089.50,0.122670914
39089.54,0.135845071
39089.58,0.180647884
39089.62,0.22769473
39089.67,0.308389996
39089.71,0.45676256
39089.75,0.523541696
39089.79,0.584954338
39089.83,0.608695662
39089.87,0.65831944
39089.92,0.665978087
39089.96,0.711037691
39090.00,0.75291609
39090.04,0.778771828
39090.08,0.779615319
39090.12,0.77086525
39090.17,0.745582392
39090.21,0.733286047
39090.25,0.731422937
39090.29,0.737554711
39090.33,0.688014487
39090.37,0.648663928
39090.42,0.680947395
39090.46,0.695742073
39090.50,0.721888389
39090.54,0.744943777
39090.58,0.734209554
39090.62,0.72191399
39090.67,0.740960253
39090.71,0.829079441
39090.75,0.837775
39090.79,0.833522353
39090.83,0.800943167
39090.87,0.78785952
39090.92,0.759639865
39090.96,0.746482888
39091.00,0.702566921
