Date,PJM Load (MW)
38728.67,98018.90881
38728.71,99878.98093
38728.75,104730.7186
38728.79,106322.1677
38728.83,105197.9203
38728.87,102747.8018
38728.92,98398.81809
38728.96,91747.71337
38729,85008.80437
38729.04,80057.55257
38729.08,77500.28271
38729.12,76400.07371
38729.17,76318.18138
38729.21,78190.93963
38729.25,84205.7784
38729.29,94933.58391
38729.33,101534.086
38729.37,100851.2812
38729.42,98932.68833
38729.46,97303.02046
38729.5,95441.30624
38729.54,93792.8272
38729.58,92424.32753
38729.62,91114.50098
38729.67,89871.95739
38729.71,90674.8254
38729.75,97087.65441
38729.79,101527.1664
38729.83,101545.6328
38729.87,100165.7137
38729.92,96714.81749
38729.96,90676.2094
38730,84153.78621
38730.04,79554.52275
38730.08,76652.26769
38730.12,75532.30501
38730.17,75305.01684
38730.21,76833.32824
38730.25,82273.50109
38730.29,92122.3483
38730.33,98673.78462
38730.37,99527.41208
38730.42,99335.5266
38730.46,98816.78287
38730.5,97643.77354
38730.54,96376.05644
38730.58,95160.82185
38730.62,94173.76499
38730.67,93335.9241
38730.71,94650.8869
38730.75,99308.14925
38730.79,100337.0506
38730.83,98240.26651
38730.87,95602.43993
38730.92,92249.78083
38730.96,87227.69847
38731,81233.02661
38731.04,76175.24438
38731.08,73242.5485
38731.12,71671.51168
38731.17,70847.72223
38731.21,71539.04672
38731.25,73548.95236
38731.29,77078.12844
38731.33,82158.95845
38731.37,86889.73038
38731.42,91093.0131
38731.46,93509.89155
38731.5,93935.93813
38731.54,93436.52319
38731.58,92480.99598
38731.62,91420.64816
38731.67,91496.99648
38731.71,93802.22181
38731.75,98587.8773
38731.79,101540.5277
38731.83,100911.1865
38731.87,99784.33237
38731.92,97537.11888
38731.96,93686.04363
38732,89246.81652
38732.04,85406.98198
38732.08,83039.80036
38732.12,82100.67635
38732.17,81937.42361
38732.21,82686.58145
38732.25,84362.34306
38732.29,87396.21625
38732.33,91197.03829
38732.37,93797.78648
38732.42,95252.82767
38732.46,95002.11603
38732.5,94161.46517
38732.54,92947.61586
38732.58,90910.60902
38732.62,89209.41477
38732.67,88416.5098
38732.71,90557.0724
38732.75,98492.61248
38732.79,102755.2588
38732.83,102419.7266
38732.87,101152.5543
38732.92,98484.24032
38732.96,94851.77624
38733,90513.48413
38733.04,86525.33226
38733.08,84386.22264
38733.12,83844.9511
38733.17,83964.34927
38733.21,85689.85386
38733.25,89947.31347
38733.29,97036.83343
38733.33,103028.2912
38733.37,105553.6515
38733.42,106448.5679
38733.46,106237.0129
38733.5,104930.2635
38733.54,102895.7289
38733.58,101038.9622
38733.62,98924.24562
38733.67,97623.10814
38733.71,99133.37651
38733.75,105740.6717
38733.79,110232.3955
38733.83,109802.4597
