Date,Waymart_PA
39083,0.395533677
39083.04,0.421350385
39083.08,0.372167659
39083.13,0.317436436
39083.17,0.375485217
39083.21,0.287504023
39083.25,0.1029375
39083.29,0.091201036
39083.33,0.102109511
39083.38,0.028274473
39083.42,0.033776181
39083.46,0.089627671
39083.5,0.18664403
39083.54,0.198873792
39083.58,0.259546859
39083.63,0.412776863
39083.67,0.632007262
39083.71,0.680329423
39083.75,0.618195626
39083.79,0.752809047
39083.83,0.739591398
39083.87,0.713483584
39083.92,0.726455895
39083.96,0.701095118
39084,0.743478448
39084.04,0.744354874
39084.08,0.746055557
39084.12,0.755447462
39084.17,0.692811708
39084.21,0.636927832
39084.25,0.703120655
39084.29,0.69360649
39084.33,0.510844124
39084.37,0.71747858
39084.42,0.695149916
39084.46,0.629494658
39084.5,0.559552779
39084.54,0.532946874
39084.58,0.499730762
39084.62,0.390578985
39084.67,0.557250158
39084.71,0.614354286
39084.75,0.659229326
39084.79,0.662269423
39084.83,0.622347815
39084.87,0.519238736
39084.92,0.400852168
39084.96,0.347765585
39085,0.207117463
39085.04,0.291593273
39085.08,0.349200006
39085.12,0.414621089
39085.17,0.461022847
39085.21,0.400892114
39085.25,0.383945521
39085.29,0.309867543
39085.33,0.386519856
39085.37,0.649616229
39085.42,0.689984335
39085.46,0.606068534
39085.5,0.570697512
39085.54,0.588122365
39085.58,0.672483582
39085.62,0.748099736
39085.67,0.741116577
39085.71,0.700814381
39085.75,0.733491786
39085.79,0.733251912
39085.83,0.749171644
39085.87,0.744861011
39085.92,0.753197818
39085.96,0.754531148
39086,0.753082867
39086.04,0.754100409
39086.08,0.749973456
39086.12,0.689341267
39086.17,0.737246673
39086.21,0.610889595
39086.25,0.630876302
39086.29,0.689543913
39086.33,0.675402327
39086.37,0.61673334
39086.42,0.673846316
39086.46,0.674571031
39086.5,0.651122286
39086.54,0.674440828
39086.58,0.7216617
39086.62,0.746792971
39086.67,0.750350921
39086.71,0.753765874
39086.75,0.756554123
39086.79,0.748031495
39086.83,0.724655692
39086.87,0.741674061
39086.92,0.749271639
39086.96,0.750719902
39087,0.7501214
39087.04,0.754093744
39087.08,0.748252822
39087.12,0.738804227
39087.17,0.72088618
39087.21,0.722928021
39087.25,0.719786141
39087.29,0.721054847
39087.33,0.736946729
39087.37,0.73890064
39087.42,0.750726476
39087.46,0.711341895
39087.5,0.72088618
39087.54,0.72088618
39087.58,0.726946534
39087.62,0.737142418
39087.67,0.717465309
39087.71,0.531188074
39087.75,0.420890989
39087.79,0.253486234
39087.83,0.248149421
39087.87,0.241320811
39087.92,0.574202503
39087.96,0.74734641
39088,0.743272549
39088.04,0.72088618
39088.08,0.72088618
39088.12,0.71895018
39088.17,0.710676541
39088.21,0.735887255
39088.25,0.72088618
39088.29,0.72088618
39088.33,0.72088618
39088.37,0.740588452
39088.42,0.755302841
39088.46,0.75076947
39088.5,0.71883198
39088.54,0.724573013
39088.58,0.71903689
39088.62,0.690625196
39088.67,0.733219918
39088.71,0.736820039
39088.75,0.713193948
39088.79,0.696587508
39088.83,0.722868662
39088.87,0.621959768
39088.92,0.406231124
39088.96,0.620866801
39089,0.678290565
39089.04,0.625708453
39089.08,0.530236534
39089.12,0.381173784
39089.17,0.279070062
39089.21,0.312211333
39089.25,0.242769776
39089.29,0.151609634
39089.33,0.195952185
39089.37,0.032228528
39089.42,0
39089.46,0
39089.5,0
39089.54,0
39089.58,0
39089.62,0.025999153
39089.67,0.110291647
39089.71,0.276800625
39089.75,0.266267137
39089.79,0.257998115
39089.83,0.220770834
39089.87,0.289990996
39089.92,0.405142772
39089.96,0.408058936
39090,0.286366572
39090.04,0.388260385
39090.08,0.232352234
39090.12,0.104081421
39090.17,0.080201611
39090.21,0.072087027
39090.25,0.095851599
39090.29,0.11333313
39090.33,0.586926471
39090.37,0.736326557
39090.42,0.714244776
39090.46,0.74721661
