Date,PJM Load (MW)
38728.62,91105.03804
38728.67,91044.74414
38728.71,92860.59307
38728.75,97631.81739
38728.79,99195.76027
38728.83,98103.01817
38728.87,95808.35409
38728.92,91821.31019
38728.96,85620.74855
38729,79286.45487
38729.04,74614.71905
38729.08,72221.60346
38729.12,71201.8256
38729.17,71103.48813
38729.21,72799.57537
38729.25,78453.34351
38729.29,88777.20307
38729.33,95087.62984
38729.37,94222.10428
38729.42,92159.90118
38729.46,90433.98185
38729.5,88518.26047
38729.54,86835.41872
38729.58,85458.80769
38729.62,84155.56942
38729.67,82899.38791
38729.71,83658.04284
38729.75,89990.3769
38729.79,94402.38895
38729.83,94452.3535
38729.87,93227.85327
38729.92,90138.81405
38729.96,84550.646
38730,78432.74557
38730.04,74112.93444
38730.08,71374.79609
38730.12,70335.24616
38730.17,70091.51661
38730.21,71443.19742
38730.25,76522.38225
38730.29,85967.37592
38730.33,92228.80328
38730.37,92899.7518
38730.42,92564.28893
38730.46,91949.31576
38730.5,90722.31163
38730.54,89420.23968
38730.58,88196.89559
38730.62,87216.4255
38730.67,86364.94981
38730.71,87635.70965
38730.75,92212.49546
38730.79,93213.90316
38730.83,91148.60998
38730.87,88666.16673
38730.92,85675.28184
38730.96,81103.53648
38731,75513.29484
38731.04,70734.90129
38731.08,67966.28456
38731.12,66475.64208
38731.17,65635.41502
38731.21,66150.14934
38731.25,67799.14956
38731.29,70924.56452
38731.33,75715.45194
38731.37,80263.58673
38731.42,84323.32492
38731.46,86643.99595
38731.5,87016.06008
38731.54,86482.29815
38731.58,85518.66329
38731.62,84464.90074
38731.67,84527.61737
38731.71,86788.64986
38731.75,91493.84723
38731.79,94419.01029
38731.83,93821.15278
38731.87,92849.64642
38731.92,90964.12436
38731.96,87563.28305
38732,83528.39362
38732.04,79967.8841
38732.08,77764.74408
38732.12,76905.99601
38732.17,76726.30942
38732.21,77298.91751
38732.25,78613.85631
38732.29,81244.0608
38732.33,84755.0066
38732.37,87173.15946
38732.42,88484.68896
38732.46,88137.79193
